lat,lon,ort,bezeichnung,gemeindeschluessel
49.66924961,12.15453393,SK Weiden i.d.OPf.,Kreisfreie Stadt,9363
49.48675113,11.80095321,LK Amberg-Sulzbach,Landkreis,9371
49.23706516,12.69547955,LK Cham,Landkreis,9372
49.21596141,11.56655792,LK Neumarkt i.d.OPf.,Landkreis,9373
49.68658288,12.09825744,LK Neustadt a.d.Waldnaab,Landkreis,9374
49.02134333,12.12116123,LK Regensburg,Landkreis,9375
49.36803336,12.25308476,LK Schwandorf,Landkreis,9376
49.89938901,12.20034184,LK Tirschenreuth,Landkreis,9377
49.88722213,10.89893625,SK Bamberg,Kreisfreie Stadt,9461
49.93774274,11.58467279,SK Bayreuth,Kreisfreie Stadt,9462
50.26395162,10.96443866,SK Coburg,Kreisfreie Stadt,9463
50.31079563,11.89726317,SK Hof,Kreisfreie Stadt,9464
49.89342862,10.88366378,LK Bamberg,Landkreis,9471
49.88376109,11.55515576,LK Bayreuth,Landkreis,9472
50.26788951,10.94232605,LK Coburg,Landkreis,9473
49.72099688,11.17313196,LK Forchheim,Landkreis,9474
50.27321205,11.81919285,LK Hof,Landkreis,9475
50.32796323,11.37204664,LK Kronach,Landkreis,9476
50.10264208,11.48229914,LK Kulmbach,Landkreis,9477
50.1093305,11.11692157,LK Lichtenfels,Landkreis,9478
50.09014053,12.04187211,LK Wunsiedel i.Fichtelgebirge,Landkreis,9479
49.29218466,10.56366943,SK Ansbach,Kreisfreie Stadt,9561
49.58232921,10.97814496,SK Erlangen,Kreisfreie Stadt,9562
49.49141883,10.96548221,SK Fürth,Kreisfreie Stadt,9563
49.43621145,11.08275534,SK Nürnberg,Kreisfreie Stadt,9564
49.33562051,11.02351259,SK Schwabach,Kreisfreie Stadt,9565
49.24816458,10.46813339,LK Ansbach,Landkreis,9571
49.64004083,10.9148933,LK Erlangen-Höchstadt,Landkreis,9572
49.44669052,10.84968649,LK Fürth,Landkreis,9573
49.49190394,11.36940646,LK Nürnberger Land,Landkreis,9574
49.56948359,10.46529167,LK Neustadt a.d.Aisch-Bad Windsheim,Landkreis,9575
49.20291709,11.12356541,LK Roth,Landkreis,9576
49.03268584,10.89365914,LK Weißenburg-Gunzenhausen,Landkreis,9577
49.96385604,9.145811924,SK Aschaffenburg,Kreisfreie Stadt,9661
50.047008,10.22089195,SK Schweinfurt,Kreisfreie Stadt,9662
49.78465542,9.940896029,SK Würzburg,Kreisfreie Stadt,9663
50.0080931,9.238037457,LK Aschaffenburg,Landkreis,9671
50.22251394,9.964701108,LK Bad Kissingen,Landkreis,9672
50.37131275,10.25490757,LK Rhön-Grabfeld,Landkreis,9673
50.06287893,10.60697884,LK Haßberge,Landkreis,9674
49.75322539,10.25606245,LK Kitzingen,Landkreis,9675
49.75729059,9.234716588,LK Miltenberg,Landkreis,9676
49.99358223,9.662681663,LK Main-Spessart,Landkreis,9677
50.01688178,10.25995031,LK Schweinfurt,Landkreis,9678
49.73762667,9.927363415,LK Würzburg,Landkreis,9679
48.34557086,10.88550536,SK Augsburg,Kreisfreie Stadt,9761
47.8799286,10.61609675,SK Kaufbeuren,Kreisfreie Stadt,9762
47.73818425,10.30811849,SK Kempten,Kreisfreie Stadt,9763
47.97878749,10.16302768,SK Memmingen,Kreisfreie Stadt,9764
